"WC","WPS","Sixltr","Dic","function.","pronoun","ppron","i","we","you","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body","health","sexual","ingest","drives","affiliation","achieve","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
27,27,29.63,48.15,14.81,0,0,0,0,0,0,0,0,3.7,7.41,0,7.41,0,0,25.93,7.41,0,0,0,0,3.7,0,3.7,3.7,3.7,0,3.7,0,0,0,0,3.7,3.7,0,0,0,0,0,3.7,3.7,0,3.7,3.7,0,0,0,3.7,7.41,0,3.7,3.7,0,7.41,14.81,22.22,0,14.81,7.41,3.7,3.7,0,0,0,0,0,0,7.41,0,0,0,0,7.41,0,0,0,0,0,0,0,0,0,0,0,0
11,11,27.27,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,72.73,36.36,18.18,9.09,9.09,0,0,9.09,0,0,0,9.09,0,0,0,0,0,0,9.09,0,0,0,9.09,0,0,0,0,0,0,9.09,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,81.25,37.5,12.5,0,0,0,0,0,0,0,0,6.25,0,0,6.25,0,0,0,6.25,0,0,0,0,12.5,0,12.5,6.25,6.25,12.5,0,0,0,0,0,6.25,0,0,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0,18.75,0,12.5,6.25,0,0,0,6.25,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,26.92,73.08,34.62,15.38,3.85,0,0,0,0,0,7.69,7.69,7.69,0,11.54,0,7.69,23.08,7.69,0,0,0,3.85,7.69,0,7.69,3.85,0,3.85,7.69,0,0,0,0,23.08,7.69,0,0,0,7.69,3.85,7.69,3.85,3.85,0,0,0,0,0,0,7.69,0,0,7.69,0,0,11.54,23.08,0,11.54,0,3.85,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,16.67,41.67,8.33,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,16.67,8.33,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,16.67,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,8.33,0,25,8.33,0,16.67,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,57.14,38.1,9.52,0,0,0,0,0,0,0,0,0,4.76,0,0,4.76,0,14.29,0,0,0,0,0,0,0,0,0,0,0,9.52,0,0,0,0,9.52,4.76,4.76,0,0,0,0,4.76,0,4.76,0,0,0,0,0,0,4.76,0,4.76,0,0,0,0,14.29,0,9.52,9.52,4.76,0,4.76,0,0,0,0,0,4.76,0,4.76,4.76,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0
21,21,52.38,57.14,23.81,9.52,4.76,0,0,0,0,0,4.76,9.52,4.76,0,0,0,0,14.29,9.52,0,0,4.76,4.76,9.52,9.52,0,0,0,0,0,0,0,0,0,4.76,4.76,0,0,0,0,0,14.29,9.52,0,0,4.76,0,0,0,4.76,0,0,0,0,0,0,0,14.29,0,9.52,0,0,9.52,0,0,0,0,0,0,4.76,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0
24,24,45.83,62.5,25,4.17,4.17,0,0,4.17,0,0,0,0,12.5,4.17,12.5,0,0,16.67,4.17,0,0,0,0,8.33,0,8.33,4.17,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,4.17,0,0,4.17,0,0,8.33,16.67,4.17,8.33,4.17,4.17,4.17,0,4.17,0,0,0,0,16.67,0,4.17,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0
19,19,31.58,57.89,21.05,5.26,5.26,0,5.26,0,0,0,0,5.26,0,0,5.26,5.26,0,15.79,5.26,0,0,0,5.26,5.26,5.26,0,0,0,0,10.53,0,0,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0,0,0,0,0,0,10.53,10.53,0,0,0,0,10.53,10.53,0,21.05,0,10.53,10.53,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
